company,industry,stage,funds_raised,region,recency,events_deviation,recency_deviation,layoff_events_category,funds_raised_binned
Calibrate,Healthcare,Series B,127.0,North America,3,-0.26041666666666674,0.40625,once,small
Veho,Logistics,Series B,299.0,North America,1,-0.19999999999999996,-2.0,once,medium
iFit,Fitness,Private Equity,200.0,North America,3,-0.3076923076923077,-0.7692307692307692,once,medium
Boost,Finance,Series B,37.0,North America,2,-0.2901234567901234,-1.0061728395061729,once,tiny
Redesign Health,Healthcare,Series C,315.0,North America,3,-0.26041666666666674,0.40625,once,medium
TravelTriangle,Travel,Series D,47.0,Asia,5,-0.43333333333333335,1.2999999999999998,once,tiny
Grubhub,Food,Acquired,284.0,North America,2,0.6212121212121211,-0.9090909090909092,twice,medium
Unity,Other,Post-IPO,1300.0,North America,3,3.6301369863013697,0.9315068493150687,four_plus,large
Bitwise,Crypto,Series B,84.0,North America,2,-0.26190476190476186,-0.2857142857142856,once,small
BitTitan,Data,Acquired,46.0,North America,4,-0.2195121951219512,1.048780487804878,once,tiny
Peerspace,Real Estate,Series B,34.0,North America,5,-0.39473684210526305,1.473684210526316,once,tiny
Kickstarter,Finance,Unknown,10.0,North America,5,-0.2901234567901234,1.9938271604938271,once,tiny
Superhuman,Consumer,Series C,108.0,North America,3,-0.3833333333333333,0.5166666666666666,once,small
Hireology,Recruiting,Series D,52.0,North America,5,-0.47058823529411775,1.3529411764705883,once,tiny
Pacaso,Real Estate,Series C,217.0,North America,3,-0.39473684210526305,-0.5263157894736841,once,medium
Aura,Security,Series F,500.0,North America,3,-0.21818181818181825,0.8363636363636364,once,large
Transfix,Logistics,Series D,128.0,North America,5,-0.19999999999999996,2.0,once,small
Navi,Finance,Private Equity,582.0,Asia,5,-0.2901234567901234,1.9938271604938271,once,large
Crejo.Fun,Education,Seed,3.0,Asia,3,-0.5277777777777777,0.13888888888888884,once,tiny
Clearco,Finance,Series C,681.0,North America,3,-0.2901234567901234,-0.006172839506172867,once,large
Snyk,Security,Series F,849.0,North America,3,-0.21818181818181825,0.8363636363636364,once,large
Brave,Consumer,Series B,42.0,North America,1,-0.3833333333333333,-1.4833333333333334,once,tiny
Foodsby,Food,Series B,20.0,North America,5,-0.3787878787878789,2.090909090909091,once,tiny
Tonal,Fitness,Series E,450.0,North America,3,-0.3076923076923077,-0.7692307692307692,once,medium
Spinny,Transportation,Series E,513.0,Asia,2,-0.45833333333333326,-0.9444444444444446,once,large
SolarEdge,Energy,Post-IPO,155.0,Asia,1,0.7692307692307692,-0.6923076923076923,twice,small
Turo,Transportation,Series E,467.0,North America,0,0.5416666666666667,-2.9444444444444446,twice,medium
Pico Interactive,Other,Acquired,62.0,North America,2,-0.36986301369863006,-0.06849315068493134,once,small
Pandion,Logistics,Series B,76.0,North America,0,-0.19999999999999996,-3.0,once,small
Absci,Healthcare,Post-IPO,238.0,North America,2,-0.26041666666666674,-0.59375,once,medium
Outside,Media,Series B,174.0,North America,3,-0.4358974358974359,0.3333333333333335,once,medium
Synergysuite,Food,Series A,6.0,North America,5,-0.3787878787878789,2.090909090909091,once,tiny
Hodinkee,Retail,Seed,40.0,North America,2,-0.32978723404255317,-0.8829787234042552,once,tiny
Cybereason,Security,Series F,750.0,North America,3,0.7818181818181817,0.8363636363636364,twice,large
Smartsheet,Other,Post-IPO,152.0,North America,2,-0.36986301369863006,-0.06849315068493134,once,small
Nevro,Healthcare,Post-IPO,556.0,North America,1,-0.26041666666666674,-1.59375,once,large
Veev,Real Estate,Series D,597.0,North America,3,-0.39473684210526305,-0.5263157894736841,once,large
Button,Marketing,Series C,64.0,North America,5,-0.2857142857142858,1.8181818181818183,once,small
Zilingo,Retail,Series D,307.0,Asia,5,0.6702127659574468,2.117021276595745,twice,medium
Bumble,Consumer,Post-IPO,313.0,North America,0,0.6166666666666667,-2.4833333333333334,twice,medium
Chief,Other,Series B,140.0,North America,2,-0.36986301369863006,-0.06849315068493134,once,small
JetClosing,Real Estate,Series A,24.0,North America,5,-0.39473684210526305,1.473684210526316,once,tiny
Yotpo,Marketing,Unknown,436.0,North America,0,0.7142857142857142,-3.1818181818181817,twice,medium
BounceX,Marketing,Series B,75.0,North America,5,-0.2857142857142858,1.8181818181818183,once,small
Electric,Other,Series D,212.0,North America,2,-0.36986301369863006,-0.06849315068493134,once,medium
Misfits Market,Food,Series C,526.0,North America,2,-0.3787878787878789,-0.9090909090909092,once,large
Andela,Recruiting,Series D,181.0,North America,5,-0.47058823529411775,1.3529411764705883,once,medium
Bungie,Consumer,Acquired,100.0,North America,1,-0.3833333333333333,-1.4833333333333334,once,small
Lendingkart,Finance,Unknown,200.0,Asia,5,-0.2901234567901234,1.9938271604938271,once,medium
Arrive Logistics,Logistics,Series B,35.0,North America,5,-0.19999999999999996,2.0,once,tiny
Highspot,Sales,Series F,644.0,North America,2,0.5833333333333333,-0.4166666666666665,twice,large
Outreach,Sales,Series G,489.0,North America,3,1.5833333333333333,0.5833333333333335,thrice,large
Food52,Food,Acquired,176.0,North America,3,0.6212121212121211,0.09090909090909083,twice,medium
Acast,Media,Post-IPO,126.0,Europe,3,-0.4358974358974359,0.3333333333333335,once,small
Humane,Hardware,Series C,230.0,North America,1,-0.16666666666666674,-0.33333333333333326,once,medium
Mainstreet,Finance,Series A,64.0,North America,3,-0.2901234567901234,-0.006172839506172867,once,small
Simpl,Finance,Series B,72.0,Asia,1,0.7098765432098766,-2.006172839506173,twice,small
Altruist,Finance,Series E,449.0,North America,0,0.7098765432098766,-3.006172839506173,twice,medium
Elementor,Media,Unknown,65.0,Asia,3,-0.4358974358974359,0.3333333333333335,once,small
Kraken,Crypto,Unknown,134.0,North America,3,0.7380952380952381,0.7142857142857144,twice,small
Clutch,Transportation,Series B,153.0,North America,3,-0.45833333333333326,0.05555555555555536,once,small
Symend,Other,Series C,148.0,North America,2,-0.36986301369863006,-0.06849315068493134,once,small
View,Other,Post-IPO,2300.0,North America,2,-0.36986301369863006,-0.06849315068493134,once,large
Grabango,Food,Unknown,94.0,North America,2,-0.3787878787878789,-0.9090909090909092,once,small
AU10TIX,Security,Unknown,80.0,Asia,2,-0.21818181818181825,-0.16363636363636358,once,small
Rad Power Bikes,Transportation,Series D,329.0,North America,3,0.5416666666666667,0.05555555555555536,twice,medium
Orca Security,Security,Series C,632.0,Asia,1,-0.21818181818181825,-1.1636363636363636,once,large
Clarify Health,Healthcare,Series D,328.0,North America,3,-0.26041666666666674,0.40625,once,medium
Guardant Health,Healthcare,Post-IPO,550.0,North America,2,-0.26041666666666674,-0.59375,once,large
Dapper Labs,Crypto,Series D,607.0,North America,3,-0.26190476190476186,0.7142857142857144,once,large
EverC,Security,Unknown,61.0,Asia,1,-0.21818181818181825,-1.1636363636363636,once,tiny
Divergent 3D,Transportation,Series B,88.0,North America,5,-0.45833333333333326,2.0555555555555554,once,small
Bridgit,Construction,Series B,36.0,North America,3,-0.5,-1.0,once,tiny
Alto Pharmacy,Healthcare,Series D,356.0,North America,5,-0.26041666666666674,2.40625,once,medium
Nikola,Transportation,Post-IPO,3300.0,North America,1,-0.45833333333333326,-1.9444444444444446,once,large
Breather,Real Estate,Series D,131.0,North America,5,-0.39473684210526305,1.473684210526316,once,small
First Mode,Transportation,Acquired,9.0,North America,1,-0.45833333333333326,-1.9444444444444446,once,tiny
Rasa,Data,Series B,40.0,Europe,3,-0.2195121951219512,0.04878048780487809,once,tiny
CityMall,Retail,Series C,112.0,Asia,3,-0.32978723404255317,0.1170212765957448,once,small
Dealtale,Sales,Acquired,2.0,Asia,2,-0.41666666666666674,-0.4166666666666665,once,tiny
Cazoo,Transportation,Post-IPO,2000.0,Europe,3,0.5416666666666667,0.05555555555555536,twice,large
Karma,Retail,Series A,34.0,Asia,2,-0.32978723404255317,-0.8829787234042552,once,tiny
GoSpotCheck,Retail,Series B,47.0,North America,5,-0.32978723404255317,2.117021276595745,once,tiny
TaskUs,Support,Post-IPO,279.0,North America,3,-0.5294117647058822,0.0588235294117645,once,medium
Worksmith,Retail,Unknown,3.8,North America,5,-0.32978723404255317,2.117021276595745,once,tiny
Borrowell,Finance,Series B,72.0,North America,5,-0.2901234567901234,1.9938271604938271,once,small
ChowNow,Food,Series C,64.0,North America,3,1.621212121212121,0.09090909090909083,thrice,small
The Good Glamm Group,Retail,Unknown,180.0,Asia,1,-0.32978723404255317,-1.8829787234042552,once,medium
Superpedestrian,Transportation,Series C,261.0,North America,3,-0.45833333333333326,0.05555555555555536,once,medium
Course Hero,Education,Series C,477.0,North America,2,-0.5277777777777777,-0.8611111111111112,once,large
Impossible Foods,Food,Series H,1900.0,North America,3,-0.3787878787878789,0.09090909090909083,once,large
Zwift,Fitness,Series C,619.0,North America,2,-0.3076923076923077,-1.7692307692307692,once,large
Glassdoor,HR,Acquired,204.0,North America,5,0.7941176470588236,1.7647058823529411,twice,medium
&Open,Marketing,Series A,35.0,Europe,3,-0.2857142857142858,-0.18181818181818166,once,tiny
